alias,canonical_name,entity_type,source_page,notes
Ac,acetyl,protecting_group,17,
acac,acetylacetonyl,ligand,17,
AA,asymmetric aminohydroxylation,reaction_term,17,
AD,asymmetric dihydroxylation,reaction_term,17,
ad,adamantyl,substituent,17,
ADDP,"1,1'-(azodicarbonyl)dipiperidine",reagent,17,
ADMET,acyclic diene metathesis polymerization,reaction_term,17,
acaen,"N,N'-bis(1-methyl-3-oxobutylidene)ethylenediamine",ligand,17,
Alloc,allyloxycarbonyl,protecting_group,17,
Am,amyl (n-pentyl),substituent,17,
An,p-anisyl,substituent,17,
ANRORC,anionic ring-opening ring-closing,reaction_term,17,
aq,aqueous,condition_term,17,
Ar,aryl (substituted aromatic ring),substituent,17,
ATD,"aluminum tris(2,6-di-tert-butyl-4-methylphenoxide)",reagent,18,
atm,1 atmosphere = 10^5 Pa (pressure),condition_term,18,
ATPH,"aluminum tris(2,6-diphenylphenoxide)",reagent,18,
BCME,bis(chloromethyl)ether,reagent,18,
BCN,"N-benzyloxycarbonyloxy-5-norbornene-2,3-dicarboximide",reagent,18,
BDPP,bis(diphenylphosphino)pentane,ligand,18,"(2R,4R) or (2S,4S) stereochemical variants shown."
BER,borohydride exchange resin,reagent,18,
BHT,"2,6-di-tert-butyl-p-cresol",additive,18,butylated hydroxytoluene
BICP,"2(R)-2'-(R)-bis(diphenylphosphino)-1(R),1'(R)-dicyclopentane",ligand,18,Complex chiral diphosphine ligand; transcription conservatively normalized.
Bip,biphenyl-4-sulfonyl,substituent,19,
bipy,"2,2'-bipyridyl",ligand,19,
BLA,Brønsted acid assisted chiral Lewis acid,reaction_term,19,
bmin,1-butyl-3-methylimidazolium cation,solvent,19,ionic-liquid cation descriptor
Bn,benzyl,substituent,19,
BNAH,"1-benzyl-1,4-dihydronicotinamide",reagent,19,
BOB,4-benzyloxybutyryl,substituent,19,
BOM,benzyloxymethyl,protecting_group,19,
bp,boiling point,condition_term,19,
BPD,bis(pinacolato)diboron,reagent,19,
BPS,tert-butyldiphenylsilyl,protecting_group,19,Shown as BPS (TBDPS).
TBDPS,tert-butyldiphenylsilyl,protecting_group,19,Alias of BPS on glossary page.
BQ,benzoquinone,reagent,20,
Bs,brosyl = (4-bromobenzenesulfonyl),protecting_group,20,
Bt,1- or 2-benzotriazolyl,substituent,20,
BTAF,benzyltrimethylammonium fluoride,reagent,20,
BTEA,benzyltriethylammonium,additive,20,
BTEAC,benzyltriethylammonium chloride,additive,20,
BTFP,"3-bromo-1,1,1-trifluoro-propan-2-one",reagent,20,
BTMA,benzyltrimethylammonium,additive,20,
BTMSA,bis(trimethylsilyl)acetylene,reagent,20,
BTS,bis(trimethylsilyl) sulfate,reagent,20,
BTSA,benzothiazole 2-sulfonic acid,reagent,20,
BTSP,bis(trimethylsilyl) peroxide,reagent,20,
Bz,benzoyl,substituent,20,
Bu,n-butyl,substituent,20,Shown as Bu (nBu).
nBu,n-butyl,substituent,20,Shown as Bu (nBu).
c,cyclo,substituent,20,
ca,circa (approximately),condition_term,21,
CA,chloroacetyl,substituent,21,
cat.,catalytic,condition_term,21,
CB,catecholborane,reagent,21,
cc. or conc.,concentrated,condition_term,21,
CCE,constant current electrolysis,reaction_term,21,
CHD,"1,3 or 1,4-cyclohexadiene",reagent,21,
CHIRAPHOS,"2,3-bis(diphenylphosphino)butane",ligand,21,
Chx,cyclohexyl,substituent,21,Shown as Chx (Cy).
Cy,cyclohexyl,substituent,21,Shown as Chx (Cy).
CIP,"2-chloro-1,3-dimethylimidazolinium hexafluorophosphate",reagent,21,
CM,cross metathesis,reaction_term,21,Shown as CM (XMET).
XMET,cross metathesis,reaction_term,21,Shown as CM (XMET).
CMMP,cyanomethylenetrimethyl phosphorane,reagent,21,
COD,"1,5-cyclooctadiene",ligand,21,
COT,"1,3,5-cyclooctatriene",ligand,21,
Cp,cyclopentadienyl,ligand,21,
CPTS,collidinium p-toluenesulfonate,additive,21,
CRA,complex reducing agent,reaction_term,22,
Cr-PILC,chromium-pillared clay catalyst,catalyst,22,
CTAP,cetyl trimethylammonium permanganate,additive,22,
Δ,heat,condition_term,22,
d,days (length of reaction time),condition_term,22,
DATMP,"diethylaluminum 2,2,6,6-tetramethylpiperidide",reagent,22,
DBA,dibenzylideneacetone,ligand,22,Shown as DBA (dba).
dba,dibenzylideneacetone,ligand,22,Shown as DBA (dba).
DBAD,di-tert-butyl azodicarboxylate,reagent,22,
DBI,dibromoisocyanuric acid,reagent,22,
DBM,dibenzoylmethane,reagent,23,
DBS,dibenzosuberyl,substituent,23,
DCA,"9,10-dicyanoanthracene",reagent,23,
DCB,"1,2-dichlorobenzene",solvent,23,
DCE,"1,1-dichloroethane",solvent,23,
DCN,"1,4-dicyanonaphthalene",reagent,23,
Dcpm,dicyclopropylmethyl,substituent,23,
DCU,"N,N'-dicyclohexylurea",byproduct,23,
de,diastereomeric excess,condition_term,23,
